Rows,opt,L
Average,10.7285,10.7304
1,11.3927,11.4013
2,10.2833,10.2761
3,10.7243,10.7279
4,10.8184,10.8138
5,10.2833,10.3109
6,10.8184,10.8382
7,10.5085,10.5142
8,10.4345,10.4063
9,11.3036,11.3113
10,10.8954,10.8834
11,10.4345,10.4582
12,10.5085,10.5484
13,10.8954,10.9029
14,11.1218,11.0989
15,10.4345,10.3923
16,10.5085,10.4708
17,10.8954,10.8396
18,10.8184,10.8162
19,10.8184,10.8322
20,10.8184,10.7664
21,10.4345,10.4245
22,11.0757,11.1018
23,11.2305,11.2561
24,11.3036,11.329
25,10.8184,10.8957
26,10.4345,10.4533
27,10.5085,10.5048
28,10.617,10.592
29,10.2833,10.2864
30,10.4345,10.4593
