Rows,opt,L
Average,4.23364,4.23226
1,4.7031,4.68823
2,4.7031,4.69802
3,4.0748,4.07202
4,4.2165,4.21647
5,3.78452,3.80407
6,4.0748,4.06633
7,4.26897,4.26416
8,3.78452,3.79655
9,4.2165,4.20113
10,4.55599,4.56426
11,3.78452,3.79907
12,4.0748,4.05383
13,3.78452,3.78473
14,5.18257,5.16197
15,5.01497,5.0145
16,4.0748,4.04933
17,4.55599,4.55531
18,4.53546,4.54988
19,4.26897,4.27987
20,4.0748,4.08795
21,4.0748,4.0934
22,4.38797,4.39277
23,4.55599,4.53692
24,3.78452,3.78027
25,4.0748,4.09818
26,4.38797,4.3835
27,4.0748,4.06593
28,4.0748,4.06517
29,4.0748,4.0693
30,3.78452,3.77463
