Rows,opt,L
Average,Inf,15.3964
1,15.9156,15.8973
2,15.1747,15.123
3,15.7631,15.7757
4,15.3822,15.392
5,15.5897,15.6344
6,14.8885,14.9074
7,15.3258,15.3496
8,14.9357,14.9118
9,14.9898,14.9877
10,15.8738,15.81
11,14.9357,14.9884
12,15.0987,15.1121
13,15.9495,15.9495
14,14.7669,14.7843
15,14.715,14.7235
16,Inf,14.7346
17,Inf,14.6799
18,Inf,16.9939
19,Inf,15.8772
20,Inf,15.9992
21,Inf,14.9236
22,Inf,15.7308
23,Inf,15.4898
24,Inf,14.9917
25,Inf,15.0046
26,Inf,16.1674
27,Inf,15.3787
28,Inf,16.0799
29,Inf,14.7458
30,Inf,15.7476
