Rows,opt,L
Average,6.37981,6.37858
1,6.38149,6.3755
2,6.38149,6.36808
3,6.07918,6.06312
4,6.07918,6.07347
5,6.68087,6.67387
6,6.78969,6.78772
7,5.78792,5.78463
8,6.68087,6.70403
9,6.38149,6.36735
10,6.38149,6.39255
11,6.78969,6.78005
12,5.78792,5.77425
13,6.07918,6.10538
14,6.68087,6.67535
15,6.38149,6.39995
16,6.07918,6.05255
17,6.48718,6.49493
18,6.38149,6.36322
19,6.07918,6.07662
20,6.38149,6.34267
21,6.38149,6.42602
22,6.38149,6.37385
23,6.07918,6.05503
24,6.48718,6.50058
25,6.48718,6.50983
26,6.38149,6.39677
27,6.48718,6.48187
28,6.68087,6.69087
29,6.48718,6.47767
30,6.78969,6.78953
