Rows,opt,L
Average,22.0652,22.0633
1,21.8131,21.8188
2,21.5819,21.6001
3,21.9091,21.9153
4,22.0919,22.0315
5,22.2899,22.268
6,22.0742,21.9899
7,22.4315,22.4587
8,22.0919,22.0645
9,21.9091,21.9085
10,22.0919,22.0769
11,22.3135,22.2831
12,22.25,22.2846
13,22.889,22.8245
14,21.8131,21.8323
15,22.0919,22.1125
16,21.7257,21.7157
17,22.0919,22.0814
18,21.8131,21.8157
19,22.4663,22.4507
20,22.25,22.2545
21,21.9385,21.9502
22,21.7257,21.762
23,21.9091,21.9109
24,22.0742,22.0652
25,21.9091,21.9446
26,21.9091,21.8569
27,22.0742,22.1434
28,21.9091,21.9013
29,22.0919,22.0591
30,22.4263,22.5192
