Rows,opt,L
Average,5.7244,5.72327
1,5.288,5.3037
2,5.57979,5.57338
3,5.88456,5.88888
4,5.288,5.2955
5,6.30288,6.29223
6,6.30288,6.29457
7,5.288,5.29523
8,5.68652,5.69065
9,5.288,5.29268
10,5.9982,5.97748
11,6.30288,6.31018
12,5.57979,5.58832
13,5.57979,5.57935
14,5.288,5.28557
15,5.88456,5.87673
16,5.57979,5.59165
17,5.57979,5.58527
18,5.88456,5.846
19,5.288,5.27053
20,5.88456,5.88565
21,5.88456,5.90733
22,5.88456,5.86483
23,5.88456,5.89787
24,5.288,5.29138
25,5.57979,5.58002
26,6.30288,6.30477
27,5.9982,5.99018
28,5.88456,5.90112
29,5.68652,5.69515
30,5.57979,5.54192
