Rows,opt,L
Average,9.1179,9.118
1,9.04507,9.03077
2,8.75744,8.77935
3,10.2518,10.2632
4,8.85695,8.89891
5,8.75744,8.74857
6,8.85695,8.83241
7,9.26194,9.30547
8,9.77791,9.82622
9,9.45071,9.45607
10,8.85695,8.86526
11,9.4076,9.38531
12,8.85695,8.83439
13,9.2275,9.24546
14,8.53612,8.54435
15,8.85695,8.82203
16,8.85695,8.86621
17,9.62339,9.61119
18,9.08126,9.08619
19,8.85695,8.86576
20,9.77791,9.73057
21,8.85695,8.87132
22,10.3677,10.3759
23,9.26194,9.27055
24,8.85695,8.85488
25,9.4076,9.39985
26,8.85695,8.86631
27,9.04507,9.03526
28,8.85695,8.81993
29,8.53612,8.54277
30,8.53612,8.50557
