Rows,opt,L
Average,17.2806,17.2934
1,17.3767,17.3303
2,17.1983,17.2472
3,17.0452,17.0455
4,17.1105,17.1698
5,17.5405,17.5523
6,17.5405,17.5502
7,17.3622,17.4366
8,17.1983,17.2683
9,17.1105,17.1192
10,17.1105,17.1474
11,17.0452,17.0974
12,17.4219,17.4189
13,17.2579,17.2347
14,17.2579,17.2709
15,17.3767,17.4064
16,17.2579,17.2594
17,17.1983,17.243
18,17.2579,17.2485
19,17.4219,17.4035
20,17.2579,17.2348
21,17.3767,17.3309
22,17.1983,17.1415
23,17.1983,17.211
24,17.1983,17.1935
25,17.2579,17.3177
26,17.3622,17.3037
27,17.2579,17.303
28,17.2579,17.2562
29,17.4219,17.4624
30,17.5405,17.5983
