Rows,opt,L
Average,6.67772,6.67398
1,6.48718,6.47605
2,6.17786,6.17643
3,6.38149,6.35643
4,6.54942,6.55692
5,7.59114,7.59846
6,6.78969,6.80507
7,6.84939,6.84227
8,6.38149,6.38267
9,6.95786,6.96
10,6.95786,6.95924
11,6.48718,6.48503
12,6.07918,6.0871
13,6.54942,6.54765
14,6.78969,6.769
15,6.84939,6.82956
16,6.48718,6.4879
17,6.68087,6.6918
18,6.6551,6.65563
19,7.12583,7.12143
20,6.95786,6.98053
21,6.95786,6.96086
22,6.17786,6.1534
23,6.38149,6.36782
24,7.59114,7.57241
25,6.68087,6.6699
26,6.48718,6.49598
27,6.78969,6.77183
28,6.38149,6.38838
29,6.54942,6.52394
30,6.54942,6.54557
