Rows,opt,L
Average,14.7478,14.739
1,14.5952,14.6021
2,14.7826,14.8379
3,14.7826,14.7324
4,15.0695,15.0936
5,14.7086,14.7123
6,14.9535,14.966
7,14.7826,14.7765
8,14.7129,14.6099
9,14.7826,14.8099
10,14.5277,14.5329
11,14.8967,14.8723
12,15.1407,15.0806
13,14.5277,14.5335
14,14.5952,14.5326
15,15.1277,15.0762
16,14.7826,14.7406
17,14.5952,14.5659
18,14.5952,14.6444
19,14.5952,14.6034
20,14.9535,14.9503
21,14.9535,14.9298
22,14.8967,14.9215
23,14.5277,14.5464
24,14.5277,14.5704
25,14.8967,14.7981
26,14.7086,14.7528
27,14.5952,14.6102
28,14.5277,14.463
29,14.5277,14.5387
30,14.7653,14.7662
