Rows,opt,L
Average,4.04224,4.04272
1,3.78452,3.78512
2,4.0748,4.07063
3,4.2165,4.20935
4,3.78452,3.75295
5,3.78452,3.78338
6,3.59784,3.57773
7,4.0748,4.0831
8,4.53546,4.556
9,3.78452,3.78438
10,4.38797,4.38018
11,3.78452,3.81002
12,4.0748,4.0853
13,4.0748,4.06817
14,3.78452,3.7928
15,4.38797,4.38448
16,4.0748,4.09993
17,4.38797,4.40072
18,4.0748,4.06547
19,4.53546,4.54652
20,4.0748,4.0857
21,3.59784,3.59813
22,3.59784,3.5917
23,4.0748,4.06578
24,3.78452,3.74715
25,4.0748,4.07605
26,4.0748,4.05023
27,4.0748,4.09098
28,4.38797,4.39107
29,3.78452,3.7848
30,4.53546,4.56363
