Rows,opt,L
Average,2.69461,2.69217
1,2.25,2.2421
2,2.25,2.24255
3,2.77992,2.79088
4,2.53207,2.5187
5,3.05505,3.04097
6,2.25,2.25445
7,2.77992,2.76897
8,2.77992,2.78948
9,2.53207,2.52743
10,2.5,2.5032
11,3.3803,3.37232
12,2.25,2.2501
13,3.3803,3.37687
14,3.05505,3.05407
15,2.77992,2.7823
16,3.3803,3.37375
17,2.25,2.2594
18,2.77992,2.77387
19,2.77992,2.79177
20,3.05505,3.05702
21,2.5,2.4938
22,2.25,2.246
23,2.77992,2.7713
24,2.77992,2.79108
25,2.53207,2.52058
26,2.5,2.5017
27,2.77992,2.78968
28,3.16667,3.14238
29,2.5,2.49555
30,2.25,2.2429
