Rows,opt,L
Average,2.09907,2.10068
1,1.71429,1.7111
2,1.71429,1.7244
3,2.55159,2.53563
4,2.27778,2.27507
5,1.71429,1.7202
6,1.99802,2.02043
7,2.27778,2.27752
8,2,2.0072
9,1.71429,1.70085
10,1.99802,2.00025
11,2.66667,2.66702
12,1.99802,1.98355
13,2.27778,2.28198
14,2.27778,2.26437
15,2.66667,2.66977
16,1.71429,1.72735
17,2.27778,2.28795
18,2.27778,2.2755
19,2,2.00655
20,2.27778,2.27905
21,2.27778,2.28532
22,2.27778,2.27782
23,2,2.00245
24,2.88095,2.86992
25,1.71429,1.7208
26,1.71429,1.72515
27,2,1.99865
28,1.71429,1.7082
29,1.99802,2.00753
30,2,2.0088
