Rows,opt,L
Average,17.7471,17.7524
1,18.3256,18.3163
2,17.7312,17.7344
3,17.443,17.4072
4,17.443,17.4061
5,17.9443,17.9303
6,17.816,17.8761
7,17.443,17.4696
8,18.075,18.0722
9,17.9443,17.8702
10,17.6295,17.6467
11,17.5433,17.5637
12,18.1246,18.1528
13,17.6295,17.7061
14,17.9667,17.9726
15,17.6295,17.614
16,17.7312,17.7573
17,18.0581,18.0273
18,17.443,17.4403
19,17.9667,17.9913
20,17.5433,17.5861
21,17.8948,17.8463
22,17.9182,17.9693
23,17.443,17.434
24,18.305,18.3579
25,17.9182,17.9149
26,17.443,17.4188
27,17.7312,17.708
28,17.443,17.4758
29,17.443,17.4464
30,17.443,17.4597
