Rows,opt,L
Average,19.1462,19.1404
1,19.097,19.0738
2,19.1402,19.0875
3,19.097,19.1359
4,19.4905,19.4675
5,19.4905,19.4418
6,19.2697,19.22
7,18.8081,18.8034
8,18.9912,18.9524
9,19.1413,19.0922
10,18.9912,18.9487
11,18.9134,18.9369
12,18.8081,18.8298
13,18.8081,18.7961
14,19.097,19.1473
15,19.1413,19.1263
16,19.315,19.2967
17,19.28,19.3498
18,19.28,19.3086
19,18.9134,18.9155
20,19.097,19.1107
21,19.6979,19.6861
22,19.315,19.2717
23,19.28,19.3517
24,19.4905,19.4608
25,19.097,19.1303
26,18.9134,18.9049
27,18.9577,18.9743
28,19.2697,19.2489
29,19.097,19.0551
30,19.097,19.0883
