Rows,opt,L
Average,3.53841,3.53534
1,3.76786,3.75672
2,3.56845,3.54713
3,3.76786,3.77617
4,3.76786,3.76843
5,3.28095,3.26507
6,3.28095,3.266
7,3.0873,3.09297
8,3.0873,3.10225
9,4.21607,4.20357
10,3.72778,3.73822
11,3.28095,3.29337
12,3.28095,3.27305
13,3.28095,3.26412
14,3.0873,3.09875
15,3.56845,3.57583
16,3.56845,3.55447
17,3.76786,3.78313
18,3.76786,3.77648
19,4.21607,4.23698
20,3.28095,3.26893
21,3.28095,3.24145
22,4.21607,4.19581
23,3.28095,3.27717
24,3.56845,3.58158
25,3.0873,3.10022
26,4.04901,4.01617
27,3.72778,3.73607
28,3.72778,3.71715
29,3.28095,3.2721
30,3.28095,3.28077
