Rows,opt,L
Average,12.2153,12.2162
1,12.2504,12.2662
2,12.1505,12.1363
3,12.1505,12.1416
4,11.7147,11.6956
5,12.0452,11.9588
6,12.0452,12.0649
7,12.5463,12.6002
8,11.8662,11.8509
9,11.931,11.9372
10,12.0452,12.0191
11,11.8662,11.8299
12,11.8662,11.9477
13,13.301,13.3234
14,11.8662,11.8939
15,12.5463,12.5333
16,12.9397,12.8928
17,12.1505,12.1653
18,12.1103,12.1158
19,12.4817,12.5247
20,12.5463,12.5424
21,11.8662,11.8609
22,11.7147,11.7492
23,12.8142,12.8412
24,11.931,11.9183
25,12.2504,12.2398
26,12.4764,12.457
27,11.7147,11.6906
28,12.2504,12.2802
29,12.5463,12.5608
30,12.4764,12.4475
