Rows,opt,L
Average,5.5087,5.51479
1,5.26697,5.2742
2,5.07958,5.08543
3,6.45667,6.47652
4,5.67799,5.68393
5,5.07958,5.08365
6,5.55515,5.57157
7,4.78762,4.81893
8,5.98521,5.92872
9,5.50992,5.5105
10,5.98521,5.98541
11,5.26697,5.27484
12,5.38696,5.40293
13,5.07958,5.07682
14,5.38696,5.39335
15,5.38696,5.39077
16,4.78762,4.79155
17,6.62317,6.63068
18,5.19582,5.20045
19,5.38696,5.4209
20,5.50992,5.50085
21,5.38696,5.38048
22,5.86029,5.87069
23,5.67799,5.66276
24,5.07958,5.06247
25,5.98521,6.0191
26,5.38696,5.41175
27,6.62317,6.64106
28,4.78762,4.797
29,5.69136,5.72037
30,5.38696,5.37615
