Rows,opt,L
Average,8.01755,8.01665
1,7.93936,7.98602
2,8.03451,8.00821
3,7.70295,7.70983
4,7.93936,7.96845
5,7.93936,7.92064
6,8.27335,8.24597
7,8.27335,8.30375
8,8.27335,8.2749
9,8.03451,8.01649
10,8.03451,8.05925
11,8.03451,8.04952
12,7.93936,7.92154
13,7.70295,7.66105
14,8.03451,8.04152
15,7.93936,7.93308
16,8.42524,8.42741
17,7.79255,7.76388
18,7.70295,7.69707
19,7.70295,7.68417
20,8.27335,8.27212
21,8.03451,8.04796
22,7.93936,7.91873
23,8.27335,8.27491
24,8.03451,8.02198
25,8.03451,8.05631
26,8.27335,8.26295
27,7.93936,7.92342
28,7.79255,7.78598
29,7.93936,8.00481
30,8.27335,8.25757
