Rows,opt,L
Average,20.13,20.1478
1,20.0342,20.1131
2,20.0342,20.0827
3,20.2073,20.2746
4,20.0342,20.0562
5,20.3153,20.3235
6,20.1558,20.1722
7,20.3153,20.3747
8,20.2073,20.3353
9,20.2073,20.2776
10,20.0849,20.1106
11,19.9497,19.9323
12,20.0342,20.0358
13,20.3153,20.3175
14,20.2073,20.2867
15,20.2073,20.3161
16,20.3153,20.2762
17,20.0342,20.0474
18,20.2073,20.103
19,20.3669,20.4223
20,20.321,20.2553
21,20.0342,19.9609
22,20.0342,20.0585
23,20.0342,20.0326
24,20.0342,20.0445
25,19.9497,19.9734
26,20.2073,20.2155
27,20.0342,19.9813
28,19.9497,19.9454
29,20.0342,20.0063
30,20.0342,20.1012
