Rows,opt,L
Average,9.96197,9.9534
1,9.56867,9.57012
2,9.88015,9.87005
3,9.56867,9.54097
4,10.0396,10.0427
5,10.1085,10.0675
6,10.2663,10.211
7,10.3354,10.3036
8,9.88015,9.88457
9,9.88015,9.85572
10,9.79586,9.79385
11,9.79586,9.80721
12,9.88015,9.85237
13,10.1101,10.1087
14,10.1101,10.0872
15,10.1101,10.1357
16,10.1101,10.1155
17,9.79586,9.76261
18,9.6483,9.66258
19,10.3388,10.2977
20,9.79586,9.78872
21,10.4908,10.4705
22,9.79586,9.78926
23,9.79586,9.82557
24,9.79586,9.74514
25,9.79586,9.80328
26,10.0396,10.0586
27,9.79586,9.81209
28,10.1101,10.129
29,10.1101,10.0866
30,10.1101,10.1235
