Rows,opt,L
Average,6.52861,6.52161
1,6.57224,6.54461
2,6.45896,6.47024
3,6.97825,6.98476
4,6.84233,6.82144
5,6.57224,6.55297
6,6.81239,6.80372
7,6.32877,6.35705
8,6.57224,6.56232
9,6.22155,6.22993
10,6.45896,6.45011
11,6.32877,6.31248
12,6.22155,6.20828
13,6.57224,6.57594
14,6.45896,6.44046
15,6.57224,6.56072
16,6.22155,6.20373
17,6.22155,6.20542
18,6.57224,6.58107
19,6.22155,6.21095
20,6.97825,6.96797
21,6.45896,6.45564
22,6.45896,6.45793
23,6.81239,6.78844
24,6.22155,6.22688
25,6.57224,6.55909
26,6.57224,6.54543
27,7.08219,7.06087
28,6.45896,6.46902
29,6.22155,6.22102
30,6.81239,6.8197
