Rows,opt,L
Average,9.55296,9.55187
1,9.72146,9.74277
2,9.48404,9.48838
3,9.48404,9.43246
4,9.24366,9.26277
5,9.72146,9.74227
6,9.72146,9.75522
7,9.48404,9.47764
8,9.72146,9.70672
9,9.40221,9.37677
10,9.72146,9.74144
11,9.16683,9.19793
12,9.16683,9.18218
13,9.16683,9.16377
14,9.40221,9.39033
15,9.72146,9.75594
16,9.40221,9.42877
17,9.40221,9.36642
18,9.72146,9.67662
19,9.40221,9.38523
20,9.63571,9.6435
21,9.40221,9.35903
22,9.40221,9.37365
23,10.5778,10.594
24,9.72146,9.76637
25,9.72146,9.7484
26,9.6966,9.70188
27,9.48404,9.46475
28,9.48404,9.46636
29,9.48404,9.45612
30,9.72146,9.70838
