Rows,opt,L
Average,10.8853,10.8871
1,10.0697,10.0429
2,12.3404,12.3497
3,10.7528,10.7486
4,10.9047,10.9371
5,10.834,10.837
6,10.5181,10.5327
7,10.9047,10.9395
8,10.6879,10.6536
9,11.1255,11.1066
10,10.834,10.8301
11,11.4797,11.5024
12,10.6879,10.6741
13,11.05,11.0216
14,11.4632,11.5126
15,11.2662,11.2275
16,10.9306,10.8825
17,10.6879,10.6857
18,10.5181,10.5444
19,10.2945,10.3001
20,10.5181,10.4979
21,10.7528,10.7398
22,10.887,10.9014
23,11.2549,11.2705
24,11.1255,11.1352
25,11.6811,11.6964
26,10.2945,10.3184
27,10.9047,10.917
28,10.5181,10.5509
29,10.5181,10.5243
30,10.7528,10.7331
