Rows,opt,L
Average,12.9821,12.9874
1,12.9765,12.9823
2,12.5189,12.5086
3,12.4564,12.4785
4,12.9765,12.9667
5,12.9765,12.9655
6,12.9765,13.0066
7,12.6822,12.7119
8,12.9765,12.9658
9,12.9765,13.0242
10,12.4564,12.4872
11,12.7486,12.7452
12,13.8051,13.8267
13,12.7486,12.7673
14,13.2033,13.1689
15,13.115,13.082
16,12.9765,12.9055
17,12.9765,12.9901
18,12.7486,12.8099
19,12.7486,12.7452
20,12.907,12.935
21,12.6822,12.691
22,13.1313,13.1973
23,12.9765,12.9599
24,13.4293,13.3964
25,13.115,13.1268
26,13.1313,13.2027
27,13.339,13.3032
28,12.9765,12.9357
29,13.339,13.3178
30,13.3932,13.4176
