Rows,opt,L
Average,3.30639,3.30504
1,3.26362,3.25938
2,2.75,2.7581
3,3.01966,3.01895
4,3.66667,3.66172
5,3.52581,3.51937
6,3.26362,3.2584
7,3.52581,3.52178
8,3.26362,3.27262
9,3.66667,3.6694
10,3.66667,3.6449
11,3.26362,3.26793
12,3,2.9931
13,3,3.0209
14,3.01966,3.01398
15,2.75,2.75395
16,3.01966,3.02085
17,3.66667,3.68008
18,3.26362,3.26455
19,3.26362,3.257
20,3.01966,3.00438
21,3.66667,3.67658
22,3.869,3.85778
23,3.29008,3.29333
24,3.01966,3.02027
25,3.26362,3.25678
26,3.52581,3.5366
27,3.869,3.8738
28,3.52581,3.51437
29,3.26362,3.25743
30,3.01966,3.00302
