Rows,opt,L
Average,8.57788,8.5803
1,8.4361,8.48515
2,8.83443,8.85192
3,8.33911,8.37544
4,8.83443,8.81374
5,8.8153,8.84354
6,8.11116,8.09475
7,9.14665,9.18408
8,9.69832,9.66348
9,8.8153,8.79515
10,8.33911,8.34886
11,8.4361,8.46687
12,8.33911,8.33639
13,8.20311,8.22965
14,8.60788,8.57898
15,8.33911,8.32952
16,9.05898,9.06545
17,8.91451,8.90988
18,8.4361,8.43388
19,8.33911,8.34317
20,8.8153,8.82476
21,8.33911,8.33376
22,8.11116,8.09358
23,8.60788,8.60232
24,9.05898,9.11245
25,8.20311,8.1989
26,8.83443,8.81311
27,8.11116,8.12212
28,8.4361,8.41442
29,8.33911,8.33432
30,8.4361,8.40929
