Rows,opt,L
Average,Inf,26.0448
1,26.3101,26.2929
2,25.8023,25.7824
3,26.1634,26.1387
4,26.123,26.0347
5,25.8023,25.8403
6,26.2171,26.1922
7,26.1634,26.1016
8,25.9558,25.9609
9,25.595,25.5804
10,26.4891,26.5161
11,25.9558,26.0334
12,26.1634,26.125
13,25.8023,25.7906
14,25.8023,25.7917
15,25.6756,25.7169
16,25.7146,25.7549
17,25.8023,25.8392
18,26.8193,26.782
19,25.9558,25.9445
20,26.1094,26.1367
21,26.1634,26.1587
22,26.2171,26.2206
23,26.0177,26.0182
24,26.3516,26.366
25,26.123,26.101
26,Inf,25.972
27,Inf,26.0078
28,Inf,25.7379
29,Inf,25.8555
30,Inf,26.5499
