Rows,opt,L
Average,2.61394,2.61573
1,2.76212,2.74262
2,3.16667,3.1721
3,2.5,2.4998
4,2.76212,2.75972
5,2.76212,2.76313
6,3.0234,3.00725
7,2.5,2.5031
8,2.22222,2.2272
9,2.76212,2.7754
10,2.76212,2.77873
11,2.22222,2.22975
12,2.22222,2.24075
13,2.76212,2.76152
14,2.5,2.5115
15,2.22222,2.2157
16,2.5,2.50275
17,3.0234,3.0234
18,2.4931,2.50132
19,2.4931,2.49187
20,2.76212,2.76747
21,2.5,2.4801
22,2.22222,2.23635
23,2.4931,2.49537
24,2.76212,2.75915
25,2.4931,2.49523
26,2.22222,2.22085
27,2.76212,2.7662
28,2.4931,2.50232
29,3.0234,3.01782
30,3.0234,3.02342
