Rows,opt,L
Average,12.0527,12.0609
1,12.0512,12.0652
2,12.0512,12.0113
3,12.0512,12.0583
4,11.7781,11.7734
5,11.7781,11.7533
6,12.0512,12.0246
7,12.0512,12.076
8,11.8546,11.8445
9,12.5739,12.6376
10,12.4287,12.4623
11,12.0512,12.0744
12,12.3558,12.3692
13,11.8546,11.8244
14,12.1583,12.1519
15,12.0512,12.09
16,12.0308,12.0394
17,11.9722,11.9594
18,12.0512,12.0869
19,12.0512,12.071
20,12.0512,12.039
21,12.0512,12.0479
22,12.7374,12.6898
23,12.231,12.2575
24,12.0512,12.0596
25,12.0512,12.0645
26,11.7781,11.8421
27,11.7781,11.7509
28,11.7781,11.8023
29,11.8546,11.9055
30,11.9722,11.9939
