Rows,opt,L
Average,9.1338,9.1388
1,8.99571,9.00092
2,8.84473,8.82336
3,9.26897,9.28243
4,8.84473,8.87777
5,9.18263,9.1508
6,8.84473,8.85232
7,9.46754,9.44926
8,8.84473,8.85067
9,9.26897,9.30129
10,9.18263,9.17527
11,9.46754,9.45759
12,9.08171,9.09343
13,9.18263,9.24426
14,9.37833,9.34142
15,8.84473,8.81497
16,8.84473,8.84714
17,8.99571,8.97729
18,8.84473,8.834
19,8.99571,9.02057
20,9.6694,9.66737
21,8.84473,8.86146
22,8.84473,8.83472
23,9.76937,9.78406
24,9.37833,9.44132
25,8.99571,9.00334
26,9.26897,9.32942
27,8.84473,8.87694
28,9.08171,9.08746
29,9.46754,9.45041
30,9.46754,9.43262
