Rows,opt,L
Average,11.5808,11.5813
1,11.546,11.5455
2,11.546,11.5558
3,11.7738,11.7519
4,11.4661,11.458
5,11.6927,11.7148
6,11.3171,11.3181
7,11.5266,11.5692
8,11.6927,11.7234
9,11.7738,11.8254
10,11.3171,11.3401
11,11.546,11.5858
12,11.7738,11.7828
13,11.2427,11.2051
14,11.546,11.537
15,11.7534,11.7649
16,11.546,11.5743
17,11.546,11.5469
18,11.3171,11.2981
19,12.1847,12.1524
20,11.3171,11.3085
21,11.546,11.5384
22,11.5266,11.5408
23,11.9171,11.9662
24,11.0863,11.0498
25,11.2427,11.2631
26,11.9171,11.8656
27,11.546,11.5759
28,11.9171,11.8345
29,11.7738,11.7198
30,11.5266,11.528
