Rows,opt,L
Average,3.364,3.36183
1,3.75445,3.74302
2,2.98783,2.98257
3,3.25048,3.27247
4,3.25048,3.22667
5,3.25048,3.25968
6,3.25048,3.24135
7,3.25048,3.24238
8,3.25048,3.2587
9,3,2.98365
10,3.50169,3.50947
11,3.25048,3.24305
12,3.25048,3.2508
13,3.25048,3.23103
14,3.25048,3.24638
15,3.66667,3.67643
16,4.33333,4.32143
17,3.25048,3.26518
18,3.50169,3.49088
19,2.72727,2.71955
20,3.66667,3.68492
21,3.8617,3.85735
22,3.50169,3.49098
23,2.98783,2.9898
24,3.66667,3.65407
25,3.66667,3.67935
26,3.25048,3.2544
27,3.25048,3.25497
28,2.72727,2.73605
29,3.8617,3.84935
30,3.25048,3.23898
