Rows,opt,L
Average,13.4769,13.4759
1,13.3916,13.375
2,13.7481,13.715
3,13.7773,13.7707
4,13.5215,13.5427
5,13.2195,13.2071
6,13.1483,13.1684
7,13.5853,13.5729
8,13.2195,13.2358
9,13.1483,13.1692
10,13.5215,13.4986
11,13.9345,13.9113
12,13.411,13.4151
13,13.1483,13.1735
14,13.5853,13.5575
15,13.2195,13.1782
16,13.411,13.396
17,13.7481,13.7451
18,13.9345,13.9419
19,13.2195,13.2476
20,13.5853,13.5807
21,13.5853,13.5647
22,13.5215,13.5413
23,13.3279,13.332
24,13.8691,13.9025
25,13.5215,13.5448
26,13.5853,13.603
27,13.2195,13.244
28,13.7134,13.7043
29,13.3375,13.3156
30,13.1483,13.1226
