Rows,opt,L
Average,13.8316,13.8327
1,13.966,13.9363
2,13.6767,13.6894
3,13.9647,13.9233
4,14.121,14.1474
5,14.1182,14.1346
6,13.2926,13.3087
7,13.5119,13.4823
8,13.2926,13.2835
9,13.9035,13.939
10,13.6767,13.6675
11,14.121,14.1458
12,13.6767,13.6888
13,13.966,13.9714
14,14.3577,14.3368
15,13.9035,13.8418
16,14.3864,14.3937
17,13.9035,13.9099
18,13.5719,13.5502
19,13.7371,13.7104
20,13.966,13.9596
21,14.9465,14.9571
22,14.0615,14.0853
23,13.6767,13.6805
24,13.2926,13.3203
25,13.2926,13.2994
26,13.8145,13.8294
27,13.8145,13.8492
28,13.2926,13.3084
29,13.6767,13.6327
30,13.966,13.9973
