Rows,opt,L
Average,4.82046,4.81718
1,4.57814,4.55382
2,5.49985,5.48776
3,4.88831,4.89725
4,4.70582,4.68775
5,4.57814,4.58193
6,4.57814,4.57658
7,4.57814,4.56918
8,4.57814,4.6011
9,4.57814,4.55612
10,5.49985,5.48673
11,4.57814,4.57062
12,5.49985,5.49572
13,4.57814,4.57628
14,4.28657,4.302
15,4.57814,4.5968
16,5.19031,5.18367
17,5.19031,5.16621
18,4.88831,4.8982
19,5.05648,5.06638
20,5.49985,5.48862
21,4.28657,4.29357
22,5.05648,5.01608
23,4.70582,4.71158
24,4.57814,4.56115
25,5.05648,5.06792
26,4.28657,4.29098
27,4.57814,4.5799
28,4.57814,4.55585
29,5.05648,5.06615
30,5.02237,5.02938
