Rows,opt,L
Average,4.60278,4.60525
1,4.28657,4.27453
2,4.57814,4.58343
3,5.02237,5.02078
4,4.88831,4.89412
5,4.57814,4.56915
6,5.02237,5.01963
7,4.57814,4.55767
8,4.28657,4.29237
9,4.70582,4.69878
10,4.28657,4.29122
11,4.57814,4.59792
12,4.57814,4.56358
13,4.70582,4.71427
14,4.57814,4.59082
15,4.57814,4.57632
16,5.02237,5.04095
17,4.57814,4.58488
18,4.28657,4.30172
19,4.57814,4.5747
20,5.02237,5.04047
21,4.57814,4.59632
22,4.28657,4.28217
23,4.70582,4.72192
24,4.57814,4.57602
25,4.57814,4.57228
26,4.57814,4.55632
27,4.28657,4.3058
28,4.28657,4.27725
29,4.57814,4.5785
30,4.88831,4.9037
