Rows,opt,L
Average,11.1257,11.1305
1,10.9113,10.9138
2,11.1582,11.2068
3,10.722,10.7558
4,11.5056,11.444
5,11.3322,11.3397
6,10.5031,10.5143
7,10.5031,10.5469
8,11.1216,11.0857
9,10.9403,10.9053
10,11.1216,11.1006
11,11.6267,11.5991
12,10.722,10.7379
13,10.9403,10.9505
14,10.722,10.7393
15,10.9403,10.9758
16,11.8927,11.9111
17,11.4749,11.5347
18,11.5636,11.5679
19,11.1216,11.1011
20,11.1216,11.1572
21,10.6316,10.665
22,11.4368,11.4465
23,11.1582,11.1426
24,10.6316,10.659
25,11.76,11.766
26,11.4749,11.4857
27,10.722,10.7409
28,10.9725,10.9443
29,11.5636,11.5293
30,11.4749,11.4491
