Rows,opt,L
Average,6.10035,6.09951
1,5.57979,5.53562
2,6.30288,6.32973
3,6.52373,6.51116
4,6.4712,6.47067
5,5.57979,5.55827
6,6.30288,6.2877
7,6.35513,6.34513
8,6.16624,6.14755
9,6.35513,6.38723
10,6.30288,6.3184
11,6.05266,6.04968
12,5.88456,5.86113
13,5.88456,5.89657
14,6.94044,6.95607
15,5.288,5.28098
16,5.9982,5.98023
17,6.93898,6.94077
18,6.4712,6.48002
19,6.16624,6.14903
20,6.30288,6.30455
21,6.05266,6.03397
22,6.18636,6.19213
23,6.05266,6.06035
24,5.88456,5.8774
25,5.57979,5.5866
26,5.88456,5.91342
27,5.87185,5.88778
28,5.57979,5.5924
29,6.4712,6.44888
30,5.57979,5.6018
