Rows,opt,L
Average,2.07976,2.08237
1,2.04762,2.04227
2,2.30357,2.30797
3,2.04762,2.05543
4,2.30357,2.30237
5,1.75,1.74655
6,1.75,1.75725
7,2.30357,2.3187
8,1.75,1.7608
9,1.75,1.74715
10,2.59524,2.58818
11,1.75,1.755
12,2,2.00385
13,1.75,1.76745
14,2.04762,2.03922
15,2.59524,2.594
16,2.30357,2.31418
17,2.89881,2.90763
18,2.04762,2.038
19,2.04762,2.05632
20,2.30357,2.29702
21,1.75,1.7549
22,1.75,1.7554
23,2.30357,2.2976
24,1.75,1.76155
25,2.04762,2.05432
26,1.75,1.75315
27,2.04762,2.05853
28,1.75,1.7578
29,2.59524,2.58665
30,2.30357,2.2918
