Rows,opt,L
Average,7.00925,7.00829
1,6.74831,6.76827
2,7.16891,7.18793
3,6.74831,6.77468
4,6.98236,6.95048
5,7.26391,7.26789
6,6.98236,6.99857
7,6.86866,6.85719
8,6.63991,6.64855
9,6.98236,6.98802
10,7.49018,7.49302
11,7.16891,7.16742
12,6.98236,6.97169
13,7.16891,7.1852
14,7.36228,7.32063
15,7.39494,7.38048
16,6.98236,6.97281
17,6.98236,6.99497
18,6.98236,6.94034
19,6.86866,6.88374
20,7.49018,7.45847
21,6.98236,7.01322
22,6.63991,6.64135
23,6.63991,6.65315
24,6.86866,6.85107
25,6.86866,6.86945
26,7.36228,7.33776
27,6.63991,6.62507
28,6.98236,6.99637
29,7.39494,7.37751
30,6.63991,6.67342
