Rows,opt,L
Average,6.56487,6.56672
1,6.22155,6.25735
2,6.81239,6.84002
3,6.96194,6.94146
4,7.36261,7.36856
5,6.84233,6.83386
6,6.45896,6.46799
7,6.22155,6.21317
8,7.91209,7.89008
9,6.57224,6.56307
10,6.57224,6.58695
11,6.57224,6.61949
12,6.22155,6.23847
13,6.57224,6.51818
14,6.22155,6.23498
15,6.22155,6.20867
16,6.45896,6.45537
17,6.45896,6.4347
18,6.22155,6.16028
19,6.32877,6.32467
20,6.45896,6.48466
21,6.81239,6.83422
22,6.57224,6.56701
23,6.22155,6.2064
24,6.57224,6.56721
25,6.45896,6.51092
26,6.45896,6.46629
27,6.57224,6.58538
28,6.45896,6.47432
29,6.57224,6.57462
30,6.57224,6.57331
