Rows,opt,L
Average,3.33398,3.33441
1,3.28095,3.30603
2,3.56845,3.55933
3,3.0873,3.0954
4,3.28095,3.28327
5,3.28095,3.27507
6,3.28095,3.30343
7,3.28095,3.27268
8,3.56845,3.56743
9,3.56845,3.5627
10,3.28095,3.28933
11,3.56845,3.56338
12,3.28095,3.27548
13,3.56845,3.5636
14,3.28095,3.28118
15,3.28095,3.29172
16,3.72778,3.74528
17,3.28095,3.29325
18,3.28095,3.27128
19,3.56845,3.55293
20,3.0873,3.08193
21,3.28095,3.29682
22,3.28095,3.29545
23,3.28095,3.26325
24,3.28095,3.29928
25,3.28095,3.27407
26,3.0873,3.07465
27,3.28095,3.27417
28,3.28095,3.2642
29,3.28095,3.27655
30,3.28095,3.27922
