Rows,opt,L
Average,23.141,23.1353
1,22.859,22.8835
2,23.3488,23.303
3,22.9835,23.0266
4,23.1846,23.2512
5,23.0283,23.0395
6,23.3488,23.3438
7,22.859,22.837
8,23.3026,23.3196
9,23.3488,23.2792
10,22.9835,22.9761
11,23.1846,23.1581
12,22.859,22.8994
13,23.6743,23.6514
14,22.859,22.8199
15,22.9031,22.9111
16,23.8608,23.8624
17,23.0173,22.9347
18,23.3026,23.3346
19,22.7768,22.7214
20,23.7357,23.8306
21,23.0283,22.9679
22,23.1397,23.0608
23,23.3026,23.3444
24,23.1397,23.1769
25,22.859,22.8114
26,23.0173,22.944
27,22.9835,23.052
28,23.0283,23.0122
29,23.4521,23.4182
30,22.859,22.8886
