Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,6.2,6.22778,6.22778,6.275,0.536287,6.29948,6.27672,6.28006,6.97843,10.4113
1,8,8,8,8,0.322293,8,8,8,9.6668,15.2822
2,6,6,6,6,0.073026,6,6,6,6.8302,10.9038
3,7,7,7,7,0.139827,7,7,7,9.002,13.3406
4,6,6,6,6,1.72875,6,6,6,7,9.9508
5,6.5,6.5,6.5,6.5,0.160137,6.5122,6.4974,6.4842,7.1596,11.724
6,4.5,4.5,4.5,4.5,0.027725,4.5,4.5,4.5,4.5,6.5176
7,6,6,6,6,0.140072,5.9966,6.012,6.0042,7.014,8.0152
8,4,4,4,4,0.103582,4,4,4,4.5014,6.749
9,7,7,7,7,0.09291,7.009,6.9918,7.0046,7.4856,10.7766
10,6,6,6,6,0.175099,6.0062,6.0072,6.0008,7,9.3222
11,8,8,8,8,0.044255,8,8,8,8,11.4282
12,3,3,3,3,0.03076,3.002,3.0018,3.0002,3.9982,4.574
13,6,6.5,6.5,6.5,0.057427,6.4936,6.4888,6.506,6.5022,11.45
14,6.5,6.5,6.5,6.5,0.963639,6.5,6.5,6.5,7.091,11.3808
15,4.5,4.5,4.5,4.5,0.05081,4.497,4.5164,4.5004,4.499,6.5238
16,5,5,5,5,0.03112,5,5,5,5,7.569
17,6.5,6.5,6.5,6.5,0.143376,6.4956,6.502,6.5018,6.747,12.1258
18,6,6,6,6,0.390557,5.9872,5.9966,5.9914,6.4974,8.6526
19,7,7,7,7.75,7.39163,8.2427,7.78107,7.78487,8.3428,14.0078
20,6.5,6.5,6.5,6.5,0.073759,6.494,6.4934,6.4914,7.5046,10.1634
21,7,7,7,7,0.160739,7.0002,7.0098,7.0052,7.2558,10.2082
22,9,9,9,9,0.128149,9,9,9,10.4912,16.7732
23,4.5,4.5,4.5,4.5,0.201305,4.5,4.5,4.6243,6.5,8.5342
24,6.5,6.5,6.5,6.5,2.43871,6.497,6.4978,6.5164,7.006,9.517
25,6,6,6,6,0.250493,6,6,6,7,10.8216
26,8,8,8,8.5,0.181302,8.7448,8.505,8.4754,9.072,14.5518
27,6,6,6,6,0.152453,6,6,6,7,11.1946
28,6,6.33333,6.33333,6.5,0.327817,6.5003,6.5027,6.5087,7.6892,11.733
29,7.5,7.5,7.5,7.5,0.034143,7.496,7.4942,7.4974,7.4998,10.6478
30,5.5,5.5,5.5,5.5,0.072747,5.51,5.5036,5.5046,5.4972,7.9006
