Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,16.7722,17.3556,17.8278,Inf,Inf,20.3805,20.4033,21.8646,28.1257,38.1163
1,15,15.3333,15.5,Inf,Inf,18.2497,18.7998,19.1808,23.6398,31.7118
2,13.5,15,16.5,Inf,Inf,22.6084,22.2602,25.9579,26.1977,40.4362
3,20,20,20,Inf,Inf,25.0768,27.4092,31.2299,36.5825,47.64
4,15.5,16,16.5,Inf,Inf,19.2386,19.2516,19.2324,25.8598,35.0314
5,18.5,18.5,18.5,Inf,Inf,19.9852,19.9944,21.0034,31.367,40.7498
6,18,19,20,Inf,Inf,23.71,23.4708,26.3916,31.4539,43.3628
7,17,17,17,Inf,Inf,23.1695,22,25,27.3246,39.0504
8,18,20,22,Inf,Inf,22.5048,22.5022,24.986,29.746,38.2802
9,20.5,20.5,20.5,Inf,Inf,21.803,21.7716,25.1068,37.16,42.305
10,18.5,18.8333,19.1667,Inf,Inf,22.1962,22.9248,23.6986,30.2654,44.5446
11,18,19,20,Inf,Inf,24.673,23.9888,26.3529,34.6327,46.1848
12,17,17,17,Inf,Inf,19.0585,19.0245,20.5478,23.0138,32.0178
13,15.5,15.5,17.5,Inf,Inf,23.9748,22.9712,24.5218,29.0197,40.8094
14,16,16,16,Inf,Inf,20.5976,19.7634,20.9972,24.068,34.3058
15,19,21,21,Inf,Inf,23.9212,25.5634,27.2528,39.5715,49.9408
16,14.5,15,15.5,Inf,Inf,16.229,16.2662,16.5078,26.4987,33.9398
17,15.5,15.5,15.5,Inf,Inf,15.4974,15.5034,16.5126,23.9985,29.2458
18,13,13,13,Inf,Inf,13.7469,13.7738,13.8797,22.7183,28.5104
19,18,18.6667,19.1667,Inf,Inf,20.7392,20.2584,21.4411,30.6738,41.1452
20,18,18.3333,18.6667,Inf,Inf,19,19,19.9987,28.5317,36.291
21,17,17.6667,18.1667,Inf,Inf,21.3476,21.0837,22.0168,27.8046,38.9894
22,14.5,15.5,15.5,Inf,Inf,17.4954,17.494,17.4842,20.4227,30.3596
23,12.1667,13.1667,13.1667,Inf,Inf,15.0034,15.1602,15.2134,19.6922,27.851
24,15,15.6667,16.6667,Inf,Inf,19.8272,19.734,20.5802,23.9106,32.6528
25,18,18,18,Inf,Inf,21.497,21.9511,22.9896,30.2687,42.0616
26,18.5,18.5,18.5,18.5,64.0599,18.4918,18.502,20.3218,26.1594,36.793
27,18,19.3333,20.3333,Inf,Inf,22.4932,22.4886,22.2528,29.292,39.4306
28,17,18,19,Inf,Inf,20,20,22.8426,31.8473,43.0794
29,16.5,17.1667,17.5,Inf,Inf,20.2865,20.195,21.7556,25.6767,40.7018
30,17.5,18.5,19,19,41.1088,18.993,18.9932,20.6806,26.3728,36.066
