Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,7.2,7.41667,7.54444,7.84722,6.84435,7.96384,7.9327,8.0641,9.32286,13.4408
1,7,7.66667,8.33333,9,29.3995,9,9,9.4996,9.9924,17.194
2,6,6,6.33333,6.66667,0.275522,6.661,6.6706,7.4332,7.9112,11.1992
3,6,6,6,6,0.043999,6,6,6,6,9.6186
4,7.5,8.16667,8.5,8.5,0.353194,8.9635,8.499,8.4948,11.503,15.4108
5,5.5,5.5,5.5,6,0.129019,5.9952,6.0016,6.0014,5.9918,11.0596
6,8,8.66667,9,9,1.6394,9.1724,9,9.1667,10.6662,16.6882
7,10,10,10,10.25,38.4222,10.5006,10.2505,10.2505,12.8721,18.0776
8,10.5,10.5,10.5,11.5,0.420749,12.499,11.4992,12.5018,12.6561,21.4364
9,6.5,6.5,6.5,7,0.04987,6.99,7.0008,6.9914,7.5008,10.652
10,6,6,6,6,0.049397,5.9886,5.996,5.9994,8.015,10.9686
11,8,9,9,9,3.87345,9,9,9,12.113,15.2474
12,4,4.33333,4.5,4.5,1.2804,4.4932,4.491,4.5086,4.5132,8.112
13,6,6,6,6.91667,2.74359,6.917,7.0004,7.4946,9.5522,12.191
14,5.5,5.5,5.5,6,0.068615,5.9892,5.991,5.9948,6.5172,9.1302
15,8.5,8.5,9.5,10,0.736487,10.2358,10.2524,10.0192,12.0116,17.664
16,6,6,6,7,4.28916,7.4988,8.0166,7.9908,8.9136,11.1388
17,8,8,8,8,0.135385,8.006,8.003,8.0128,9.4058,12.9736
18,8.5,9.5,9.5,9.5,0.432616,9.504,9.502,10.015,10.5012,14.5854
19,3.5,4,4.5,4.5,0.082691,4.5,4.5,4.5,5.3703,7.6458
20,8,8,8,8,0.371788,8,8,8,11.0767,13.0422
21,7,7,7,7,0.184824,7,7,7,9.8053,13.6024
22,9,9,9,10.1667,31.0523,10.407,11.2678,11.2366,11.6598,16.3412
23,7.5,8.5,8.5,8.5,0.860081,8.5068,8.4846,9.2479,9.67,16.006
24,6.5,6.5,6.5,7,0.114736,7.5012,6.9938,6.998,8.3402,11.7446
25,8.5,8.5,8.5,8.5,0.103477,8.5024,8.5028,8.4936,8.8186,12.948
26,9,9.33333,9.5,9.91667,87.0873,10.074,10.0684,10.0818,13.1992,18.0894
27,8,8,8,8.5,0.136049,8.5068,8.489,8.4946,9.3582,15.2122
28,8,8,8,8,0.830527,8,8,8,9,13.2958
29,9.5,9.5,9.5,9.5,0.092713,9.5028,9.5004,9.4958,11.0092,15.002
30,4,4.33333,4.66667,5,0.071568,5,5,5,5.742,6.9476
