Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,1.63889,1.66111,1.66111,1.70278,0.0115973,1.70206,1.70193,1.70232,1.82122,2.34003
1,1.5,1.5,1.5,1.5,0.075547,1.5,1.5,1.5,1.5,1.6438
2,1,1,1,1,0.009714,1.0012,1.0004,1.0008,1.005,1.1028
3,1.5,1.5,1.5,1.5,0.005477,1.5,1.5,1.5,1.5,1.6844
4,2.16667,2.16667,2.16667,2.16667,0.009568,2.16667,2.16667,2.16667,2.16667,2.8246
5,2,2,2,2.25,0.007733,2.2523,2.2406,2.2465,2.4916,3.45
6,0.5,0.5,0.5,0.5,0.004019,0.5,0.5,0.5,0.5,0.548
7,2.5,2.5,2.5,2.5,0.011962,2.49,2.4958,2.4992,2.5004,3.4114
8,1,1.33333,1.33333,1.41667,0.010007,1.4148,1.406,1.4174,1.5016,2.1416
9,1,1,1,1,0.00449,1.001,0.9916,0.9972,0.9934,1.037
10,2.5,2.5,2.5,2.5,0.008029,2.4874,2.5016,2.5088,2.5012,3.3496
11,1,1,1,1,0.008371,1.0082,0.9964,0.9982,1.1742,1.0486
12,3,3,3,3,0.013172,3,3,3,3,4.5214
13,1,1,1,1,0.010176,1,1,1,1,1.2734
14,1.5,1.5,1.5,1.5,0.011968,1.4916,1.495,1.4998,1.8462,2.2186
15,1,1,1,1,0.005089,1,1,1,1,1.1642
16,2.5,2.5,2.5,2.5,0.016805,2.5012,2.5086,2.4988,2.6013,3.2136
17,3,3,3,3,0.008397,3.008,2.9982,2.9906,3.0038,3.6844
18,1.5,1.5,1.5,1.5,0.012332,1.501,1.5028,1.5036,1.6643,1.937
19,1.5,1.5,1.5,1.5,0.003088,1.5,1.5,1.5,1.5,1.8028
20,1.5,1.5,1.5,1.5,0.010969,1.5,1.5,1.5,1.5,2.4346
21,1,1,1,1,0.004797,1,1,1,1,1.2754
22,2,2,2,2,0.004887,2,2,2,3,3.0956
23,2,2,2,2,0.019487,2,2,2,2.3296,3.4662
24,2.5,2.5,2.5,2.5,0.010881,2.5,2.5,2.5,2.7584,3.3406
25,1,1.33333,1.33333,1.41667,0.013784,1.4174,1.4149,1.3989,1.5016,2.3652
26,2,2,2,2,0.007969,2,2,2,2,2.5522
27,2,2,2,2.83333,0.012839,2.83413,2.8372,2.83587,3.5887,4.396
28,1,1,1,1,0.008271,1,1,1,1,1.2582
29,1,1,1,1,0.00954,1,1,1,1,1.5218
30,1.5,1.5,1.5,1.5,0.008552,1.4868,1.502,1.5072,1.5086,2.4378
