Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,7.18889,7.51667,7.67778,8.23194,15.9418,8.38165,8.29028,8.62847,10.0469,13.5274
1,7,7,7,7.5,1.09255,7.7488,8,8,8.4982,14.5742
2,7,8,8,8,0.077107,8.0002,7.9956,9.5074,10.5042,11.3576
3,8,8,8.33333,9,3.70521,9.0864,9.0568,9.5128,13.4335,16.497
4,7,7.5,8.5,9,1.01341,9.2682,9.0066,8.9946,10.1658,13.1012
5,6,6,6,8,0.139996,8,8,8.8536,8.8436,13.1896
6,7.66667,8.33333,8.66667,8.66667,0.243525,9.3296,8.6796,9.5974,10.1214,13.8976
7,5.83333,6.83333,6.83333,6.83333,0.103108,6.83487,6.82587,7.83987,7.83927,8.6082
8,7,8,8,9.29167,207.691,9.7412,9.7633,10.5107,11.3733,16.6966
9,6,6,6,6.75,0.153421,6.7504,6.7451,6.754,8.3329,13.461
10,9,9,9,9.08333,1.7385,9.097,9.1742,9.1612,12.2028,14.6996
11,6.5,7.5,8,8.5,0.38613,8.5096,8.5116,9.0048,10.5362,14.854
12,5,5,5,5.75,0.120621,5.8466,5.8448,6.005,6.5776,9.6184
13,8,8.33333,8.83333,9.25,0.988259,9.8283,9.2357,9.2585,10.6797,14.2708
14,9,9,9,9,0.749329,9,9,9,9.4896,14.171
15,6.5,6.5,7.16667,9.91667,43.7085,10.0358,9.9736,11.9359,10.4998,14.8966
16,8,8,8,8,0.097152,7.9972,8.0024,7.992,11.5178,13.0154
17,7,7,7,7,0.140587,7,7,7,9.166,12.5506
18,6.5,6.83333,7.16667,7.5,0.495194,7.589,7.513,8.2196,7.874,12.0918
19,6,7,7.33333,8,8.76175,8,8,8,10.6224,14.1698
20,7.5,8.5,8.5,9,0.66137,9.497,8.9898,9.01,10.6692,14.111
21,6,6.66667,7,7,0.210352,7.0112,6.9934,6.9942,8.2584,9.8974
22,10.5,10.5,10.5,10.8333,2.03907,10.8344,10.8586,11.1002,13.6674,19.7302
23,8.5,8.5,8.5,9,0.162459,8.997,9.0002,8.9912,10.7458,12.7856
24,8.5,8.5,8.5,9.83333,95.8897,10.1646,10.1582,10.1739,11.3583,18.1388
25,10.1667,10.1667,10.1667,10.2917,93.3304,10.6746,10.4009,10.7964,13.8822,17.3632
26,9,9.33333,9.5,9.79167,2.78934,10.1274,9.7879,9.7939,11.4924,15.8028
27,8,8,8,8.75,0.185187,8.9944,8.7405,8.7473,11.4751,14.6862
28,6.5,7.5,7.83333,8.41667,11.4798,8.4988,8.4564,8.7646,10.3245,13.58
29,4,4,4,4.5,0.065288,4.4898,4.501,4.8374,5.5054,6.6426
30,4,4,4,4.5,0.035465,4.497,4.4934,4.4976,5.7508,7.3634
