Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,5.63333,5.70556,5.71111,5.72963,0.372663,5.72939,5.72895,5.73026,6.51726,9.2927
1,5,5.5,5.5,5.5,0.103079,5.4948,5.496,5.5114,5.4888,8.5744
2,4.5,4.5,4.5,4.5,0.082659,4.5,4.5,4.5,5.5,8.4104
3,5.5,5.5,5.5,5.5,0.046681,5.5,5.5,5.5,5.8296,8.2286
4,7,7,7,7,0.091703,7.0004,6.9986,6.9928,8.5138,11.4748
5,5.5,5.5,5.5,5.5,0.107213,5.5,5.5,5.5,5.8286,7.6934
6,7,7,7,7,0.107076,7,7,7,8.2447,11.3818
7,6,6.33333,6.33333,6.41667,2.53402,6.4231,6.4114,6.4093,7.4204,11.2932
8,5,5,5,5,0.106578,5,5,5,5.1736,8.4192
9,6.5,6.5,6.5,6.5,1.45623,6.4988,6.5062,6.5086,6.9396,10.1254
10,7,7,7,7,0.104636,7,7,7,7.4936,12.1636
11,4,4,4,4.22222,0.160623,4.21467,4.219,4.21733,5.0959,6.6284
12,6,6,6,6,0.065358,6,6,6,6,8.6744
13,4.5,4.5,4.5,4.5,0.095522,4.4998,4.5076,4.505,4.693,6.2144
14,7.5,7.5,7.5,7.5,1.43145,7.5014,7.498,7.5004,10.3372,14.0626
15,7,7,7,7.25,0.087847,7.2524,7.2431,7.2533,7.254,12.5554
16,5.5,5.5,5.5,5.5,0.057083,5.498,5.493,5.5012,5.5096,7.2108
17,6.5,6.5,6.5,6.5,0.165224,6.5034,6.4922,6.4996,7.0573,11.723
18,4.5,4.5,4.5,4.5,0.041044,4.5,4.5,4.5,5.2466,7.7804
19,7.5,7.5,7.5,7.5,2.2559,7.4992,7.5052,7.4918,9.4226,11.966
20,5,5,5,5,0.107081,5,5,5,7.5639,9.0676
21,3,3.33333,3.5,3.5,0.175305,3.5036,3.499,3.5088,4,5.3082
22,6,6,6,6,0.046923,6,6,6,7,10.9032
23,5,5,5,5,0.053285,4.9868,4.9946,5.005,5.51,6.477
24,5,5,5,5,0.053329,5,5,5,5,7.6008
25,5,5,5,5,0.155511,5,5,5,5.7514,8.6966
26,4.5,5.5,5.5,5.5,0.147585,5.495,5.5004,5.5004,7.1718,8.1814
27,5,5,5,5,0.106353,5,5,5,5.7424,7.5644
28,5.5,5.5,5.5,5.5,0.090877,5.5104,5.5042,5.503,6.2384,8.6028
29,7,7,7,7,0.938306,7,7,7,7.9866,12.2616
30,6,6,6,6,0.205395,6,6,6,6.5044,9.5372
