Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,1.68333,1.69444,1.69444,1.73889,0.0095864,1.75572,1.73847,1.73931,1.8379,2.42983
1,2.5,2.5,2.5,2.5,0.00957,2.5102,2.496,2.4956,2.6578,3.041
2,3,3,3,3.5,0.003927,3.5,3.5,3.5,4,5.4588
3,1,1,1,1,0.011538,1,1,1,1,1.3046
4,3,3,3,3,0.010838,3,3,3,3,3.3746
5,1,1,1,1,0.011111,1,1,1,1.4992,1.2174
6,1,1,1,1,0.004937,1,1,1,1,1.3474
7,0,0,0,0,0.004733,0,0,0,0,0
8,0.5,0.5,0.5,0.5,0.003466,0.5,0.5,0.5,0.5,0.5056
9,0,0,0,0,0.005896,0,0,0,0,0
10,2,2,2,2.5,0.013708,3,2.5,2.5,3.489,3.844
11,2,2,2,2,0.003684,2,2,2,2,2.688
12,2,2,2,2,0.021693,2,2,2,2.2538,2.77
13,2.5,2.5,2.5,2.5,0.004833,2.5,2.5,2.5,2.5,3.8568
14,2,2,2,2,0.006414,2,2,2,2,3.0322
15,2.5,2.5,2.5,2.5,0.010401,2.503,2.5042,2.5142,2.5116,3.1228
16,1.5,1.5,1.5,1.75,0.013241,1.7337,1.7566,1.7481,1.7392,2.6416
17,3.5,3.5,3.5,3.5,0.035043,3.5,3.5,3.5,3.9978,4.754
18,1,1,1,1,0.005047,1,1,1,1,2.113
19,2,2,2,2,0.005138,2,2,2,2,2.7542
20,1.5,1.5,1.5,1.5,0.005941,1.5,1.5,1.5,1.5,1.7388
21,3,3,3,3,0.008828,2.999,2.9916,3.0014,2.9912,3.9256
22,0.5,0.5,0.5,0.5,0.004886,0.5,0.5,0.5,0.5,0.4922
23,1,1,1,1,0.00476,1,1,1,1,2.2072
24,3,3,3,3,0.014935,2.9986,2.9984,3.0126,3.0084,3.7562
25,2,2.33333,2.33333,2.41667,0.011682,2.4148,2.4164,2.4134,2.4187,3.9358
26,0.5,0.5,0.5,0.5,0.011482,0.5122,0.491,0.5056,0.4904,0.5212
27,1.5,1.5,1.5,1.5,0.00597,1.5,1.5,1.5,1.5,1.7392
28,0.5,0.5,0.5,0.5,0.0095,0.5,0.5,0.4884,0.496,0.5318
29,3,3,3,3,0.015843,3,3,3,3.0839,4.7686
30,1,1,1,1,0.008547,1,1,1,1,1.4524
