S,T,C,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
5,3,8,1.63889,1.66111,1.66111,1.70278,0.0115973,1.70206,1.70193,1.70232,1.82122,2.34003
6,3,9,1.68333,1.69444,1.69444,1.73889,0.0095864,1.75572,1.73847,1.73931,1.8379,2.42983
7,3,11,2.81667,2.86111,2.87778,2.87778,0.0187033,2.8782,2.87811,2.88895,2.96176,4.11756
8,3,12,2.28889,2.3,2.3,2.30833,0.0141531,2.30909,2.30889,2.30794,2.42864,3.23151
9,3,14,2.98333,2.98333,2.98333,3.00417,0.0284242,3.00331,3.00596,3.00399,3.18911,4.53608
10,3,15,3.18333,3.18333,3.18333,3.19167,0.0330406,3.19127,3.19931,3.2003,3.26634,4.75324
5,4,10,2.88333,2.95556,2.98889,3.10787,0.0264648,3.11364,3.12735,3.13724,3.50699,4.62184
6,4,12,3.53889,3.61111,3.62778,3.675,0.0383932,3.69355,3.67758,3.68215,4.11169,5.58848
7,4,14,3.96667,4.06111,4.1,4.16389,0.0438502,4.17255,4.17299,4.20477,4.65437,6.46621
8,4,16,4.68333,4.72778,4.75,4.81944,0.163755,4.82715,4.82715,4.83209,5.40837,7.48488
9,4,18,5.63333,5.70556,5.71111,5.72963,0.372663,5.72939,5.72895,5.73026,6.51726,9.2927
10,4,20,6.2,6.22778,6.22778,6.275,0.536287,6.29948,6.27672,6.28006,6.97843,10.4113
5,5,13,4.60556,4.87778,5.00556,5.32269,0.168557,5.39514,5.37833,5.57108,6.16821,7.99887
6,5,15,5.37222,5.56667,5.68333,5.91111,2.89937,5.9657,5.94053,6.00508,7.20634,9.55311
7,5,18,6.48889,6.65,6.74444,6.96528,1.37304,7.04632,7.00003,7.06873,8.45501,11.2684
8,5,20,7.2,7.41667,7.54444,7.84722,6.84435,7.96384,7.9327,8.0641,9.32286,13.4408
9,5,23,8.58333,8.68889,8.76667,Inf,Inf,9.05402,9.01961,9.12307,11.1595,15.5722
10,5,25,9.1,9.37222,9.39444,Inf,Inf,9.60461,9.60461,9.72762,11.3772,16.6415
5,6,15,6.27778,6.64444,7.05556,7.59491,5.16725,7.84876,7.80966,8.08667,9.40908,12.3541
6,6,18,7.18889,7.51667,7.67778,8.23194,15.9418,8.38165,8.29028,8.62847,10.0469,13.5274
7,6,21,8.81667,9.21111,9.50556,Inf,Inf,10.4042,10.3513,10.7599,12.4714,17.6948
8,6,24,9.51667,9.85,10.0889,Inf,Inf,11.0981,10.9859,11.3407,13.2879,19.2825
9,6,27,10.3833,10.7778,10.9778,Inf,Inf,11.5932,11.5794,11.7554,14.6177,20.9316
10,6,30,11.9111,12.2778,12.4444,Inf,Inf,13.0134,12.9242,13.1518,15.9266,23.3958
