Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,4.47222,4.56667,4.60556,4.65556,0.0633643,4.65725,4.66446,4.68131,5.14163,6.94199
1,5,5,5,5,0.034585,5,5,5,5.245,7.0578
2,4,4.33333,4.5,4.5,0.037846,4.5096,4.4912,4.507,4.876,8.7348
3,6.16667,6.16667,6.16667,6.16667,0.071918,6.1862,6.163,6.1592,6.76,7.7998
4,5.5,6,6.5,6.5,0.04477,6.5,6.5,6.5,7.5,9.3156
5,5,5,5,5,0.066115,5,5,5,5.6216,7.4908
6,4,4,4,4,0.0287,4,4,4,5.0418,7.283
7,4.5,4.5,4.5,4.5,0.040675,4.5146,4.5122,4.4952,4.8472,5.6386
8,4.5,4.83333,5,5.25,0.076282,5.2551,5.2527,5.2495,5.2439,8.1002
9,2,2,2,2,0.02637,2,2,2,2.5,2.959
10,6,6,6,6,0.036622,6,6,6,6.1252,7.9158
11,5,5,5,5,0.028339,4.9854,4.9892,5.0042,5.0082,7.514
12,4.5,4.5,4.5,4.5,0.039476,4.4926,4.5142,4.4984,4.5036,6.4304
13,6,6.33333,6.5,6.5,0.071265,6.5048,6.504,6.488,7.4922,9.7774
14,6,6,6,6.75,0.134295,6.7517,7,7,7,11.4712
15,1.5,1.5,1.5,1.5,0.021476,1.505,1.5086,1.5108,1.4968,1.554
16,4.5,5.5,5.5,5.5,0.035406,5.5,5.5,5.5,5.5,8.1542
17,3.5,3.5,3.5,3.5,0.165081,3.4928,3.491,3.5072,4.4848,5.2932
18,4,4,4,4,0.059363,3.991,3.9964,3.995,4.8282,6.355
19,3.5,3.5,3.5,3.5,0.07722,3.5108,3.5062,3.5046,4.0046,4.7872
20,5,5,5,5,0.059019,5,5,5,6.7494,8.391
21,7,7,7,7,0.035328,7,7,7,7,11.8742
22,5.5,5.5,5.5,5.5,0.242988,5.5072,5.5098,5.4998,7.1526,8.2368
23,6.5,6.5,6.5,6.5,0.064315,6.5,6.5,6.5,6.9956,7.822
24,5.5,5.83333,6,6,0.140314,6.002,6.0106,6.0168,6.5272,7.6162
25,5.5,5.5,5.5,5.5,0.090487,5.5,5.5,5.5,5.5,8.7184
26,3.5,3.5,3.5,3.5,0.03543,3.5,3.5,3.5,4.5,5.4718
27,2.5,2.5,2.5,2.5,0.018685,2.5114,2.4924,2.5008,2.4876,3.1612
28,1,1,1,1,0.018646,1,1,1,1,1.7092
29,4.5,4.5,4.5,4.5,0.078801,4.5,4.5,4.5,4.7501,7.1676
30,2.5,2.5,2.5,3,0.021113,2.9974,2.9922,3.5028,3.5072,4.4592
