Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,9.51667,9.85,10.0889,Inf,Inf,11.0981,10.9859,11.3407,13.2879,19.2825
1,10,11.5,13,13,1.95228,13.001,12.9994,13.0092,14.752,19.8158
2,12.5,12.5,12.5,12.5,17.1015,12.501,12.5058,12.5096,13.684,20.4182
3,8.5,8.5,8.5,8.5,0.520122,8.5024,8.4934,8.506,11.9582,16.4606
4,10,10,10,10.5,0.089117,11.0038,10.5094,10.5046,13.513,18.9482
5,13.5,13.5,13.5,13.5,20.8364,13.5006,13.5122,13.4974,18.1774,25.2878
6,9.5,9.5,9.5,11,18.5581,11.0024,11.001,10.9932,13.907,19.9318
7,10,10,10,Inf,Inf,14.0174,13.4946,15.2504,14.7201,22.6022
8,10.5,10.5,10.5,12.5,1.47232,12.4958,12.5024,12.5012,13.5116,16.6622
9,7.5,7.5,7.5,8,0.236365,8.0012,7.9954,8.0104,8.9934,13.6558
10,4.5,4.5,4.5,4.5,0.808964,4.4938,4.5128,4.4936,6.9908,8.1084
11,9.5,9.5,9.5,10,1.16339,10.4922,9.9962,10.0108,12.972,19.5866
12,10.5,11.1667,11.5,Inf,Inf,11.827,11.824,12.5822,16.1556,23.594
13,11,11.3333,11.3333,11.4167,87.6997,11.4185,11.4182,11.4168,14.4899,18.8918
14,6,6,6,6,0.291423,5.9994,5.9996,6.0048,7.2552,9.163
15,11,12,13.6667,Inf,Inf,14.618,14.4526,16.8944,17.4105,27.3768
16,10,10,10,13,1251.04,13.512,13.5096,14.3328,14.6559,22.7368
17,6.5,7.16667,7.5,7.5,0.173045,7.5018,7.5148,7.498,7.5018,9.8572
18,9.5,10,10.5,Inf,Inf,12.7394,12.7584,12.7567,13.5891,22.467
19,8,8,8,Inf,Inf,10.517,10.4878,10.7302,11.6127,18.0826
20,8.5,8.5,8.5,8.5,0.323425,8.4846,8.4874,8.5078,10.0012,18.568
21,9.5,9.5,9.5,10.5,1185.74,10.992,10.4928,10.4774,12.9998,19.273
22,11,11,11,11.5,89.2636,11.7464,12.0032,11.99,16.896,21.9608
23,8.5,8.5,8.5,8.5,0.614087,8.5,8.5,8.5,10.8574,16.3128
24,10,11.3333,12,12,18.8926,12.1634,12.0114,12.169,13.4855,19.825
25,10.5,10.5,10.5,10.6667,1.70395,11.15,10.8574,11.0148,12.6618,18.7796
26,11,11.3333,11.5,Inf,Inf,13.827,13.411,14.3206,16.454,22.8038
27,12,12.6667,12.6667,12.6667,176.801,12.6706,12.6588,13.1668,17.2646,23.2262
28,9,10,10.5,10.75,5.2957,10.8753,10.8102,11.16,12.1752,20.7044
29,8.5,8.5,9,Inf,Inf,12.7422,12.2518,12.2474,14.5758,19.8758
30,8.5,10.5,11.5,Inf,Inf,12.6468,12.6056,15.1654,15.4154,23.4986
