S,T,C,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
5,3,11,2.83333,2.97222,3.00556,3.07778,0.021329,3.07637,3.07874,3.11533,3.3325,4.16133
6,3,13,3.6,3.7,3.72222,3.88889,0.0347198,3.88801,3.89708,3.8979,4.31956,5.5358
7,3,15,3.85,3.89444,3.91111,3.96806,0.0417534,3.98486,3.97602,4.02106,4.39973,6.05153
8,3,17,4.47222,4.56667,4.60556,4.65556,0.0633643,4.65725,4.66446,4.68131,5.14163,6.94199
9,3,19,4.81111,4.95556,4.98889,5.09722,0.0990791,5.09829,5.12043,5.1386,5.65778,7.80501
10,3,21,5.20556,5.20556,5.20556,5.27222,0.0965277,5.28015,5.28158,5.28144,5.79052,7.85621
5,4,14,4.69444,4.97222,5.09444,5.58009,0.115763,5.68575,5.6416,5.74962,6.49508,8.21933
6,4,17,6.2,6.58889,6.77778,7.28241,0.860699,7.41076,7.44852,7.61271,8.54503,11.289
7,4,19,6.25,6.6,6.85556,7.29028,0.829977,7.37216,7.35632,7.54092,8.89004,11.5957
8,4,22,7.61667,7.85,7.98333,8.29444,10.0429,8.3251,8.34704,8.43483,9.75853,13.2583
9,4,25,8.98333,9.18333,9.3,9.57593,8.84183,9.62877,9.61464,9.7615,11.6618,15.9959
10,4,27,9.18333,9.54444,9.71111,Inf,Inf,10.2684,10.2891,10.3684,12.1553,16.9068
5,5,17,7.58333,8.52222,8.91667,Inf,Inf,10.4441,10.4791,11.0378,12.2308,15.2739
6,5,21,8.28333,8.85,9.15556,Inf,Inf,10.3871,10.3801,10.799,12.8456,16.4287
7,5,24,9.71667,10.2444,10.55,Inf,Inf,11.7541,11.7085,12.2963,14.921,19.6529
8,5,27,11.6056,12.0778,12.5167,Inf,Inf,13.5609,13.4687,14.0972,17.146,23.1127
9,5,31,13.1556,13.9,14.2889,Inf,Inf,15.6496,15.7936,16.7532,20.0319,27.4054
10,5,34,14.4556,14.8778,15.1556,Inf,Inf,16.1256,16.1888,16.6883,21.0634,29.0333
5,6,21,9.68889,10.7944,11.4611,Inf,Inf,14.5298,14.6535,15.7706,18.4664,22.9263
6,6,25,11.6667,12.2222,12.5361,Inf,Inf,15.1885,15.1745,16.1388,19.3317,25.0307
7,6,29,13.5167,14.4111,14.9278,Inf,Inf,17.7191,17.6311,18.814,23.098,30.7841
8,6,33,15.6,16.3944,16.7806,Inf,Inf,19.2774,19.5087,20.854,25.8941,34.6644
9,6,37,16.7722,17.3556,17.8278,Inf,Inf,20.3805,20.4033,21.8646,28.1257,38.1163
10,6,41,19.55,20.2444,20.6556,Inf,Inf,23.3317,23.2011,24.4585,32.111,44.0728
