Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,2.98333,2.98333,2.98333,3.00417,0.0284242,3.00331,3.00596,3.00399,3.18911,4.53608
1,3.5,3.5,3.5,3.5,0.010342,3.5,3.5,3.5,3.5,5.689
2,1,1,1,1,0.012788,1,1,1,1,1.9112
3,2.5,2.5,2.5,2.5,0.028543,2.4974,2.5104,2.4986,2.5016,3.2216
4,3,3,3,3,0.030526,3,3,3,3,4.9366
5,3,3,3,3,0.018807,3,3,3,3,4.1368
6,3,3,3,3,0.03499,2.9928,3.0124,2.9874,3.0056,3.874
7,3,3,3,3,0.012721,3,3,3,3,4.26
8,2,2,2,2,0.008204,2,2,2,2,2.7064
9,2.5,2.5,2.5,2.5,0.011537,2.5,2.5,2.5,2.5,2.9308
10,4,4,4,4,0.02922,4,4,4,4,5.8998
11,4,4,4,4.125,0.048341,4.1208,4.1224,4.1218,4.6683,8.5598
12,4,4,4,4,0.061699,4,4,4,4,6.462
13,3,3,3,3,0.01664,3,3,3,3,4.6032
14,1,1,1,1,0.014743,1,1,1,1.4922,1.5636
15,2.5,2.5,2.5,2.5,0.022368,2.5106,2.497,2.498,3.4984,3.3654
16,2,2,2,2,0.02077,2,2,2,2,3.5796
17,4,4,4,4,0.023386,4,4,4,4,6.0216
18,4,4,4,4,0.012583,4,4,4,4,7.007
19,4.5,4.5,4.5,4.5,0.017059,4.4978,4.5104,4.499,4.5006,5.9822
20,3.5,3.5,3.5,3.5,0.013315,3.5,3.5,3.5,3.5,4.5286
21,2,2,2,2,0.017937,1.9952,2.011,1.9928,2.007,2.8438
22,2,2,2,2,0.009928,2,2,2,2,2.6852
23,3,3,3,3,0.101168,3,3,3,4,4.6196
24,3,3,3,3.5,0.04292,3.5,3.5,3.5,3.9928,4.9798
25,5,5,5,5,0.122578,5,5,5,5.4986,6.7048
26,3,3,3,3,0.03013,2.9914,3.008,3.0118,3.508,4.2884
27,4,4,4,4,0.036917,4,4,4,4.4982,7.4424
28,2.5,2.5,2.5,2.5,0.008833,2.4934,2.5072,2.5104,2.4938,3.183
29,1,1,1,1,0.018925,1,1,1,1,2.2772
30,4,4,4,4,0.014808,4,4,4,4.5082,5.819
