Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,9.68889,10.7944,11.4611,Inf,Inf,14.5298,14.6535,15.7706,18.4664,22.9263
1,11,12.5,14,Inf,Inf,16.8912,17.4916,18.2774,21.2303,26.7888
2,12.5,12.5,12.5,Inf,Inf,17.506,18.3918,18.4096,22.3008,28.4688
3,9,10,10,Inf,Inf,13,14.7883,15.2378,15.3456,20.7266
4,8,8,10,Inf,Inf,14.5031,13.0199,15.6838,16.7522,21.9126
5,9.5,9.5,9.5,12.1528,1507.83,12.4678,12.6392,13.4274,15.765,20.4162
6,10.5,13.5,13.5,Inf,Inf,16.7552,18.524,20.8896,23.8006,27.6502
7,11,11,11,11.75,2.75534,11.749,12.0076,12.0236,15.9705,18.7124
8,10.5,11.5,11.5,12.5,335.167,14.7724,13.4948,13.6606,17.3857,22.5916
9,10,10.6667,11,Inf,Inf,16.7467,15.813,16.3465,18.2026,25.3116
10,11.5,12,12.5,13.5,365.001,13.9998,13.5038,13.5082,19.8479,24.3824
11,9.5,11.5,12.5,Inf,Inf,16.8384,16.2138,17.9286,18.2695,25.2156
12,8,8,9,12.5046,1206.45,13.553,13.2656,16.0842,18.9502,21.7352
13,8.5,10.5,11.8333,Inf,Inf,16.5141,17.4477,17.5678,20.9827,25.6776
14,10.5,11.5,12.5,Inf,Inf,15.6338,15.511,17.2801,20.7619,24.5096
15,8,9,10.3333,12.125,273.524,12.6454,12.7426,12.954,16.0691,20.0602
16,8.5,10.5,10.5,12,908.514,12.4514,12.127,12.3609,16.889,20.6534
17,8.5,9.5,10.5,11,4.99759,12.0463,11.2996,12.0894,16.206,17.5162
18,13.5,15.5,15.5,Inf,Inf,19.7354,18.8776,20.3941,23.5502,29.2058
19,7.5,10.5,10.5,13.6667,343.346,14.1175,14.5165,17.9297,18.8869,22.4542
20,8.5,8.83333,9,10.5,17.0942,10.8765,11.5038,11.8366,13.2414,17.1722
21,6.16667,6.16667,6.16667,7.16667,1.31329,7.501,7.159,8.1838,11.2418,11.0118
22,7,9,10,10.75,28.0541,10.751,10.7632,13.37,13.1198,17.6112
23,12,13,14,Inf,Inf,18.5436,18.533,20.233,22.9763,28.7504
24,10,13,15,Inf,Inf,17.7001,17.6619,20.0251,21.5502,29.3836
25,10,11.3333,12,12.5,80.5656,13.2639,13.3723,13.3655,17.1231,20.115
26,9,9,10,Inf,Inf,15.3678,15.8298,17.156,21.1138,24.8114
27,10,11.3333,12.5,Inf,Inf,17.3523,18.0944,18.9198,19.5273,28.1972
28,12,12.5,13,Inf,Inf,15.7112,17.3109,18.5079,21.7665,25.4264
29,10,11,12.1667,12.5,38.363,13.1902,13.0048,13.209,17.5342,19.6436
30,10,11,11.3333,13.0833,280.365,13.7112,14.6964,16.2587,17.6301,21.6768
