Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,9.1,9.37222,9.39444,Inf,Inf,9.60461,9.60461,9.72762,11.3772,16.6415
1,11,11.6667,12,12.75,1163,12.7603,12.767,12.8544,14.2821,21.3088
2,7.5,7.5,7.5,8.25,21.9357,8.4041,8.2544,8.4159,10.9274,15.3552
3,11.5,11.5,11.5,12,0.573989,11.9742,11.9956,11.9964,13.8263,21.5122
4,7,7,7,7,0.249357,7,7,7,9.1222,13.2414
5,9,9,9,9,1.99181,9,9,9,9.7438,15.084
6,7.5,7.5,7.5,8,0.674169,8.0052,8.0038,7.9988,8.667,12.5804
7,10,10,10,10,0.390164,9.992,10.0004,9.9882,11.1626,14.906
8,9.5,9.5,9.5,9.5,1.76962,9.4924,9.4974,9.499,11.8984,16.742
9,7.5,8.5,8.83333,9.5,245.234,9.502,9.4984,9.9445,11.1656,15.839
10,7,7,7,7,0.467711,6.9958,7.0008,6.997,8.9898,13.2666
11,9,9,9,9.625,1.13787,9.6276,9.6278,9.7498,11.1902,18.902
12,8.5,9.5,9.5,9.5,1.52351,9.6249,9.5,9.5,12.1784,18.5326
13,10.5,11,11,11,0.592797,11.0114,10.9926,11.0038,11.2168,18.8702
14,7.5,7.5,7.5,7.5,0.158741,7.49,7.4992,7.5066,8.4996,14.267
15,8.5,9.5,9.5,9.5,0.202858,9.5104,9.5056,9.5084,10.4969,16.0912
16,10,10,10,10,0.703313,10,10,10,11.371,17.8006
17,11.5,11.5,11.5,11.5,3.52796,11.497,11.4988,11.5108,13.8884,17.3384
18,9,10,10,Inf,Inf,10.9986,10.7599,11.5006,11.9906,17.3068
19,8,8,8,8,0.2603,8,8,8,8.4966,13.2994
20,5.5,5.5,5.5,6,0.207775,5.9964,5.9986,6.0112,8.009,9.3436
21,9,9,9,9,1.16272,9,9,9,11.5812,15.296
22,9,9,9,9,4.76008,9,9,9,10.5628,15.082
23,8.5,8.5,8.5,8.5,9.71811,8.5052,8.4976,8.4874,11.8922,15.5314
24,9,9,9,9.25,4.46141,9.2515,9.2517,9.2676,11.6636,18.6448
25,10,10,10,10,21.0554,10,10,10.0822,13.0204,16.4432
26,9,9,9,9,7.18474,9,9,9,11.2489,17.6986
27,10.5,11.5,11.5,11.5,1.53644,11.4978,11.4954,11.4982,12.6642,19.0816
28,9.5,9.5,9.5,9.5,2.4457,9.4986,9.5062,9.5044,11.8698,15.0432
29,13,15,15,15,2.01391,15,15,17,16.7542,25.8514
30,10,10,10,10.5,2.86733,10.5028,10.987,11.0034,12.9348,18.9848
