Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,5.20556,5.20556,5.20556,5.27222,0.0965277,5.28015,5.28158,5.28144,5.79052,7.85621
1,6,6,6,6,0.102846,6.006,5.9874,6.0152,6.0036,8.1468
2,5.5,5.5,5.5,5.5,0.018645,5.5,5.5,5.5,5.5,7.4004
3,4.5,4.5,4.5,5.5,0.02845,5.5,5.5,5.5,6.5,8.2762
4,4,4,4,4,0.040124,4.012,4.0112,3.9922,4.0056,5.5212
5,7,7,7,7,0.11972,7,7,7,7,9.8564
6,4.5,4.5,4.5,4.5,0.032878,4.4908,4.5046,4.5014,4.4908,5.1818
7,6,6,6,6,0.056753,6,6,6,6.5,10.0464
8,6.5,6.5,6.5,6.5,0.232207,6.5064,6.52,6.5036,7.0234,9.4756
9,4,4,4,4,0.030094,4,4,4,5,5.8882
10,6,6,6,6,0.313432,6,6,6,8.1114,9.4806
11,8.16667,8.16667,8.16667,8.16667,0.057291,8.1562,8.1616,8.1666,8.1764,11.0024
12,4,4,4,4,0.092959,4,4,4,5,6.512
13,4,4,4,4.5,0.171333,4.5,4.5,4.5,6,6.5914
14,5,5,5,5,0.376059,4.9836,5.0066,5.0064,4.9944,6.9624
15,6,6,6,6,0.196055,6,6,6,6.501,8.8188
16,5,5,5,5,0.033502,5,5,5,5.3358,6.706
17,5.5,5.5,5.5,5.5,0.118995,5.5,5.5,5.5,5.9978,8.2796
18,4,4,4,4,0.034059,4,4,4,4,6.3602
19,5,5,5,5.25,0.076633,5.2422,5.2551,5.2447,5.4988,8.0724
20,7,7,7,7,0.133252,7,7,7,8.4972,10.9
21,2,2,2,2,0.035029,2,2,2,2,3.1302
22,7,7,7,7,0.051475,7,7,7,7,11.018
23,4,4,4,4,0.045448,4,4,4,4,5.4564
24,5,5,5,5,0.016502,5,5,5,5,7.2816
25,7,7,7,7,0.076949,7,7,7,8,11.1596
26,5.5,5.5,5.5,5.5,0.090923,5.5058,5.4968,5.5102,6.6586,8.9338
27,6,6,6,6.25,0.153268,6.497,6.4998,6.4994,7.4966,10.8408
28,4.5,4.5,4.5,4.5,0.072603,4.503,4.5116,4.4964,5.7544,7.5056
29,3.5,3.5,3.5,3.5,0.03396,3.5014,3.4926,3.507,3.5046,4.4222
30,4,4,4,4,0.054388,4,4,4,4.1652,6.4592
