Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,11.9111,12.2778,12.4444,Inf,Inf,13.0134,12.9242,13.1518,15.9266,23.3958
1,7,7.5,8,8,0.899458,8,8,8,9.2764,15.5722
2,14.5,15.5,15.5,Inf,Inf,17.7506,17.2546,17.4648,19.9214,29.6382
3,14,14,14,Inf,Inf,16.6674,16.5992,18.0025,19.7997,30.8492
4,10.5,11.5,12,Inf,Inf,12.5068,12.6289,13.6613,16.7258,25.352
5,10.5,10.5,10.5,10.5,2.33016,10.509,10.5074,10.4822,13.788,18.6588
6,11,11.3333,11.5,11.5,510.097,11.5082,11.503,11.7744,17.155,23.3254
7,5.5,5.5,5.5,5.5,0.346664,5.4954,5.501,5.4982,6.0944,10.7228
8,12,13,13.5,14,2551.13,14.0048,13.9812,14.0038,15.414,20.5182
9,11,11,11,12.1667,2404.3,12.3282,12.329,12.3302,15.0599,22.6548
10,16.5,17.1667,17.5,17.5,1850.94,17.5,17.5,17.9221,18.4982,34.5638
11,8,8,8,8,0.254117,7.9956,8.001,8,9.2423,13.2288
12,13.5,13.5,13.5,13.5,3.4727,13.5002,13.498,13.5034,18.7522,25.0516
13,12,12,12,12,1270.21,12,12,12,17.4682,22.2502
14,12.5,13.1667,13.6667,14.25,49.1204,14.3404,14.316,14.3418,16.6655,25.9212
15,13,13,13,13,0.835668,13,13,13,17.5962,26.392
16,16,16,16,Inf,Inf,16.9956,16.7577,16.7513,20.9479,30.4024
17,11,12.6667,13.8333,14,383.672,13.993,13.9934,14.0084,16.7218,22.7462
18,10,12,12,Inf,Inf,13.993,14.005,15.0122,14.4922,23.5982
19,13,13,13.3333,13.5,28.2475,13.4918,13.5052,13.5042,16.8396,22.6148
20,12,12.3333,12.6667,Inf,Inf,14.7541,13.7472,13.753,17.0795,26.5414
21,10,10,10,10.5,2497.08,11,10.5,10.5,14.4246,21.2964
22,11,11,11,11,3.64431,11,11,11,13.337,21.1344
23,12,12,12,12,0.68388,12,12,12,13.7506,21.1594
24,12.1667,12.5,12.8333,Inf,Inf,14.9171,14.4331,15.0954,19.6167,26.4416
25,12.6667,12.6667,12.6667,12.6667,0.287601,12.6659,12.6775,12.6591,15.4133,20.5952
26,10,10,10,10,2.98444,10,10,10,12.2463,19.4534
27,14,14,14.3333,Inf,Inf,15.006,14.9998,15.9998,18.1854,25.0666
28,14.5,15,15,15,43.5851,14.9864,14.9884,15.0142,16.7829,24.9356
29,12.5,13.5,13.5,13.5,2.2653,13.4912,13.5,14.0214,16.7185,25.4324
30,15,15,15,15,43.456,15,15,15.251,19.7854,25.7566
