Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,8.98333,9.18333,9.3,9.57593,8.84183,9.62877,9.61464,9.7615,11.6618,15.9959
1,9,9,9,10,4.48537,10,10,10,11,18.5014
2,8,8,8,8,0.490462,8,8,8,10.0352,11.7292
3,7,7,7,7,0.060668,7,7,7,7,11.3664
4,9.5,10.1667,10.1667,10.3333,1.39891,10.4616,10.419,10.4343,13.0299,18.1078
5,10,10.5,11,11,1.01269,11,11,11.2462,13.301,18.0888
6,9.5,9.83333,10.1667,10.5,0.338265,10.4976,10.497,10.5072,12.0002,16.3304
7,13,13,13,13,0.452052,13,13,13,15.2512,20.9198
8,12.5,12.5,12.5,13.5,1.08084,13.5036,13.4962,13.9982,18.1141,21.408
9,6,6,6,6.25,1.97474,6.9688,7.0036,7.4736,8.4968,11.6934
10,6.5,6.5,6.5,6.5,0.080923,6.5,6.5,6.5,9.0094,11.0226
11,8.5,8.5,8.5,8.5,2.05149,8.5,8.5,8.5,11.747,14.528
12,9.5,9.5,9.5,10.4167,0.438473,10.4109,10.407,10.4212,11.0871,15.8248
13,7.5,7.5,7.5,7.5,0.422163,7.5,7.5,7.9956,11.319,13.3758
14,11.5,12.5,12.5,12.75,98.1266,12.743,12.9914,12.997,17.1075,21.1286
15,9,9,9,9,0.186143,8.9986,8.9886,8.9962,11.0102,15.0616
16,11,12,12,12,0.434104,12.333,12,13,16.3232,20.8486
17,9,9,9,9,0.691399,9,9,9.333,10.4822,14.0756
18,7.5,8,8,9.08333,8.3716,9.1799,9.1551,9.6698,10.4784,16.1214
19,11.5,11.5,11.5,11.5,48.521,11.4942,11.4946,11.6674,13.4615,19.3658
20,9.5,9.5,9.5,10.9444,3.48027,11.0194,10.9613,11.4626,13.5293,19.9766
21,9,9,9,9.5,2.8879,9.5,9.5,9.5437,11.769,16.7384
22,7.5,7.5,7.5,7.5,0.384755,7.4986,7.5012,7.4954,9.2422,15.3304
23,9,9,9,9,0.101228,9,9,9,10.759,13.305
24,7.5,7.5,8.16667,9.25,78.7121,9.2456,9.2509,9.2546,9.9962,16.5104
25,9.5,9.5,9.5,9.5,0.597621,9.4966,9.5024,9.4898,12.6158,15.4236
26,8.5,9.5,10.5,10.5,6.27013,10.4958,10.4946,10.4982,10.5014,15.8194
27,6,6,6,6,0.131952,6,6,6,7.7406,10.3576
28,10,10,10,10,0.933805,9.9924,10.0114,9.9934,11.3268,15.1672
29,7.5,8.5,9.5,9.5,0.767877,9.5156,9.5024,9.6203,11.2393,13.6924
30,9.5,9.5,9.5,9.75,0.369537,10.0078,9.7624,9.7474,10.8799,18.0566
