Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,8.58333,8.68889,8.76667,Inf,Inf,9.05402,9.01961,9.12307,11.1595,15.5722
1,9,9.33333,9.33333,9.33333,0.649716,9.3358,9.3494,9.3306,11.3414,17.0852
2,13,13,13,13,0.652658,13.004,12.99,13.0048,15.9738,19.531
3,7,7,7,7,0.527098,6.9918,7.0072,7.0316,7.9904,10.0808
4,8,8,8,8.58333,3.76107,9.0852,8.5809,8.5909,11.6698,17.5258
5,10,11,11,11.25,43.7544,11.5102,11.2493,11.4972,13.0128,20.246
6,7,7,7,7,0.601162,7.0038,6.995,7.2547,8.1317,11.5306
7,12,12.5,12.5,12.5,0.949006,12.5002,12.4948,12.5,16.7496,21.6316
8,8.5,8.5,9.16667,9.5,0.32446,9.5022,9.5006,9.5026,9.4886,14.8488
9,10.5,10.5,11.5,11.5,1.21105,11.5084,11.5016,11.5008,14.8908,18.623
10,6,6,6,6,1.0495,6,6,6,9.6202,10.2028
11,13,13,13,13,1.27825,13,13,13,15.3762,23.135
12,10,10,10,10,1.80957,10,10,10,11.6624,16.691
13,10,10,10,10.5,5.24653,10.5038,10.5146,11.0328,14.5954,18.0326
14,7.5,7.5,7.5,8.66667,18.6069,9.6,9.3618,10.7416,12.2001,15.593
15,5.5,6.5,6.5,6.5,0.166518,6.5158,6.497,6.515,7.4118,10.9986
16,9.5,9.5,9.5,9.5,0.253992,9.505,9.4964,9.5006,10.502,15.3152
17,8,8,8,8.16667,0.492372,8.1632,8.1614,8.1736,9.4146,13.1412
18,7,7,7.5,8,0.247885,8,8,8,8.6369,12.3888
19,5,5,5,5,0.218103,5,5,5,6.4136,10.5766
20,7,7.33333,7.5,7.5,0.192492,7.5,7.5084,7.4934,8.2884,11.6106
21,11.5,11.5,11.5,11.5,1.41872,11.5,11.5,11.5,16.2726,19.8164
22,10,10,10,10,317.92,10,10,10,14.211,19.2178
23,8,8,8,8,0.246149,8,8,8.0216,9.0402,14.4822
24,8,8,8,Inf,Inf,9.2503,9.2545,9.7515,12.0142,18.6098
25,9.5,9.5,9.5,9.5,3.00098,9.5022,9.5108,9.504,11.9954,16.5082
26,8.5,8.5,8.5,8.625,1.08312,8.6363,8.6179,8.7488,10.6155,16.618
27,5.5,5.5,5.5,7.5,29.81,7.4952,7.5064,7.5038,7.992,12.3818
28,5,5,5,5,0.148849,4.9904,5.0016,4.9912,6.2255,8.187
29,9,9,9,9,7.2223,9.0154,8.9948,9.0046,11.1936,15.1314
30,9,9,9,9,1.04494,9.0014,8.994,8.9964,11.8536,17.4238
