Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,13.1556,13.9,14.2889,Inf,Inf,15.6496,15.7936,16.7532,20.0319,27.4054
1,13.5,13.5,14.5,14.5,30.5275,14.5088,14.4916,14.5068,21.6546,23.984
2,13.5,13.5,13.5,Inf,Inf,15.24,17.0322,19.015,22.01,27.1626
3,11,11,11,12.5,1.33425,12.4904,12.4888,13.7392,15.7945,21.9226
4,12,12,13,14,290.588,14.3874,14.2516,14.616,20.7143,25.4344
5,14.5,15.1667,15.5,16.1667,856.697,16.1768,16.1484,16.4734,20.5795,28.9114
6,13,13,13.6667,Inf,Inf,15,15,15,20.2385,27.131
7,12,13.3333,14.1667,Inf,Inf,16.2601,16.1227,17.2394,17.6448,24.4196
8,13.5,15.5,17,Inf,Inf,18.96,18.9528,20.1997,24.0915,32.8854
9,15.5,16.5,17,17.25,507.305,17.2638,17.258,17.2468,19.171,29.333
10,12,14,14,Inf,Inf,14.3198,14.8364,16.0856,20.3528,27.101
11,11.5,12.5,12.5,Inf,Inf,14.0126,14.0158,17.1292,18.6089,25.7314
12,15,15.6667,16.3333,Inf,Inf,18.7434,19.3438,21.455,23.2148,32.5672
13,10,10,11.5,Inf,Inf,13.8326,13.8524,15.0827,18.4026,25.9364
14,14.5,16.5,16.5,Inf,Inf,18.3316,19.0988,19.0834,24.2346,32.3044
15,13.5,14.5,14.6667,Inf,Inf,15.1722,15.5064,15.6678,20.3444,27.2482
16,8.66667,8.66667,8.66667,9.66667,0.732947,9.65467,9.66947,10.6665,10.6931,14.5572
17,13,14,14.1667,14.1667,70.2309,14.1612,14.175,14.8474,16.0006,24.1276
18,13.5,13.5,14,Inf,Inf,15.5,15.5,15.5,20.3774,25.3998
19,13,13,13,Inf,Inf,16.0052,15.999,16.0004,20.4598,28.7678
20,15,16,16.5,Inf,Inf,20.4326,21.812,23.682,26.4863,37.643
21,14,17,17,Inf,Inf,17,17,19,20.5742,30.651
22,13,13,13,13,30.3334,13,13,13.0796,18.1578,20.9648
23,13.5,13.5,13.5,15.5,2012.37,15.493,15.4996,16.3718,18.8246,27.3464
24,17.5,18.1667,18.5,Inf,Inf,19.3285,18.9986,21.3926,26.9453,36.0748
25,11,11.6667,12.3333,Inf,Inf,16.0018,15.992,18.9994,17.3302,26.7478
26,12.5,12.5,13.5,Inf,Inf,15.168,15.1258,15.6639,18.6397,26.1838
27,16,16,16,Inf,Inf,16.3808,16.1862,16.5001,22.1496,33.2874
28,15,16.3333,16.3333,Inf,Inf,18.7482,18.144,18.6374,22.5874,30.745
29,10.5,11.5,11.8333,12.0833,21.8481,12.1726,12.0652,12.9654,14.6368,19.1212
30,13.5,15.5,15.5,Inf,Inf,15.7422,16.2418,16.7488,20.0364,28.4716
