Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,3.6,3.7,3.72222,3.88889,0.0347198,3.88801,3.89708,3.8979,4.31956,5.5358
1,4,4,4,4.25,0.048302,4.2464,4.2498,4.2537,5.0009,5.9234
2,4,4,4,4,0.031465,4,4,4,4.2489,5.9296
3,6,6,6,6.25,0.045775,6.2493,6.2492,6.253,7.1148,9.3822
4,3,3,3.5,3.5,0.009488,3.5008,3.4968,3.5008,3.5216,5.2994
5,0.5,0.5,0.5,0.5,0.012762,0.5,0.5,0.5,0.5,0.533
6,4.5,4.5,4.5,4.5,0.016279,4.5,4.5,4.5,4.5,6.6886
7,2,2,2,2,0.023751,2,2,2,2,2.3668
8,3.5,3.5,3.5,4.25,0.043036,4.2441,4.4986,4.4992,4.512,6.4534
9,4.5,4.5,4.5,4.5,0.012281,4.5,4.5,4.5,4.5,5.527
10,4.5,4.5,4.5,4.5,0.048419,4.504,4.5002,4.4972,5.2529,6.573
11,2.5,3.5,3.5,3.5,0.021688,3.5102,3.512,3.4842,3.4948,5.1686
12,2,2,2,2,0.030144,1.9906,2.0156,2.0216,2.0064,2.446
13,2,2,2,3,0.04563,3,3,3,3,3.9268
14,3,3,3,3,0.020974,2.9916,2.99,3.0052,3.1856,3.4632
15,5.5,5.5,5.5,5.5,0.012748,5.5038,5.5042,5.5114,5.5058,6.9208
16,5,5,5,5.25,0.03353,5.2478,5.2518,5.2467,6.5217,7.8124
17,4.5,4.83333,5,5,0.034995,5.0016,4.999,5.007,5.9946,6.589
18,4,4,4,5,0.040449,5,5,5,5.5028,7.5672
19,5,5,5,5.16667,0.040113,5.1714,5.1622,5.165,5.3906,7.613
20,3.5,3.5,3.5,3.5,0.014047,3.5,3.5,3.5,4.5,4.8656
21,4,4,4,4,0.015502,4,4,4,6,5.7114
22,4.5,4.5,4.5,4.5,0.013715,4.497,4.4912,4.4928,5.1796,7.122
23,3.5,3.5,3.5,3.5,0.046948,3.4946,3.4806,3.5088,3.911,4.9322
24,4,4,4,4.5,0.020682,4.5,4.5,4.5,5.5,6.4836
25,3.5,3.5,3.5,3.5,0.036704,3.4914,3.499,3.4914,4.495,5.7122
26,4,4,4,4,0.011944,4,4,4,4,5.1048
27,3,3.66667,3.66667,4,0.059224,3.9934,4.0158,3.9888,4.4978,5.6004
28,3,3,3,3,0.012006,2.995,2.998,2.999,2.9986,3.6038
29,3,4,4,4.5,0.223004,4.5072,4.4984,4.5112,4.7514,7.5074
30,2,2,2,2,0.015989,2,2,2,2,3.2472
